Serial No,Song Name,Artist Name,Camelot,BPM,Duration,Popularity,energy,Danceability,Happiness,Accousticness,Instrumentalness,Liveness,Speechiness,Loudness,Spotify Link
1,Deep Sleep - 528 Hz,Velodrome,3B,70,02:39,54,2,23,4,99,91,10,5,-30,
2,Solfeggio 528 Hz for clarity,Theta Aum,8B,140,02:32,52,3,15,9,99,77,12,5,-32,
3,528 Hz Ancient Wisdom,Infinite Imagination,8B,65,02:12,52,3,13,2,61,67,10,6,-33,
4,528 Hz Cosmic Force,Sky Anthus,7A,78,03:19,52,0,12,4,81,92,10,5,-44,
5,528 Hz Cosmic Force,Sky Anthus,7A,78,03:19,52,0,12,4,81,92,10,5,-44,
6,528 Hz - Why The Rush,Dora Waller,8B,69,02:18,53,0,6,3,99,96,11,5,-33,
7,528 Hz Well Being,Rigby Jay,5A,69,03:02,53,3,16,4,93,84,10,4,-34,
8,Blidt 528 Hz,Alba Lie,8B,74,02:46,48,2,10,13,97,91,15,5,-36,
9,Elixir Tones 528 Hz,Baroque Modernist,5B,119,02:39,51,3,19,16,99,98,10,5,-34,
10,Soma 528 Hz,Lars Peters,3B,72,02:30,48,0,17,4,86,93,11,5,-38,
11,Coastline,Drew Morrison,2B,135,02:51,52,0,15,4,96,95,12,6,-40,
12,Serenade of the Deep 528Hz,myndstream,8B,71,02:40,52,3,6,4,89,53,10,4,-30,
13,528 Hz Drifting Away,Holistic Harmony,8B,75,02:38,52,1,14,2,94,83,10,5,-36,
14,horizon haze 528 Hz,floating echoes,7B,76,03:45,51,0,13,3,96,93,9,4,-41,
15,528 Hz Balance,Seven Minutes From Sleep,8B,84,02:44,50,0,20,3,81,83,10,6,-38,
16,528 Hz Inherent Influence,Elysian Path,7B,80,02:55,17,0,13,5,99,85,9,4,-43,
17,Calm Contemplations 528 Hz,Elnas,8B,78,03:29,43,0,7,3,76,70,11,6,-36,
18,528 Hz Unwind,Akriva,8B,76,02:33,50,2,7,3,77,86,8,6,-35,
19,Andromeda - 528hz,Kenton,9B,140,04:07,50,4,14,12,82,50,11,5,-31,
20,528 Hz Perpetuity,Brett McLaughlin,3A,71,02:26,39,4,7,3,96,93,9,3,-30,
21,Morphology of 528 Hz,Elias Mía,6B,82,02:40,50,4,8,8,99,91,12,5,-31,
22,528 Hz Calming Waves,Seraphic Binaural Wisdom,4B,73,02:31,49,9,19,4,99,87,11,4,-28,
23,528 Hz - Love Frequencies,Aegean Noise,4B,90,02:43,46,2,17,4,99,100,11,5,-31,
24,Tranquility 528 Hz,Gual Levine,3B,81,02:46,49,0,19,3,90,93,11,5,-36,
25,Gleann 528 Hz,Peaceful Village,8B,75,02:29,46,3,20,4,99,79,7,5,-32,
26,528 Hz Emotional Moment,Solfeggio Dreams,3B,69,02:55,46,6,13,2,73,80,11,5,-26,
27,Quiet Movement,Ashtanga,8B,63,02:38,46,1,20,3,83,98,11,5,-35,
28,unwinding mind 528 Hz,nite sky,8B,135,03:12,52,1,15,3,87,80,10,5,-38,
29,528 Hz Balance,Tottori,8B,170,03:07,49,2,8,3,92,80,10,5,-34,
30,528 Hz Transformation,Divijata Ash,8B,75,03:45,46,4,12,3,81,68,12,5,-30,
31,Healing Mind 528 Hz,The Only Star In The Sky,8B,70,02:47,50,5,6,3,94,94,12,6,-28,
32,Beyond Time,D/S/T/N/C/E,3B,141,02:45,49,3,14,8,93,94,9,4,-32,
33,Nu Och Då,Mira Appelquist,11B,60,02:25,48,8,13,4,91,87,9,4,-28,
